date,isin,price
2020-11-30,SPICHA,69.6
2020-11-30,IMAE,53.86
2020-11-30,CSPX,369.17
2020-11-30,AJEUAS,179.18
2020-11-30,LCJD,15.798
2020-11-30,AEEM,4.26
2020-11-30,IEAC,177.01
2020-11-30,LQDE,276.82
2020-11-30,IGLO,139.21
2020-11-30,AUUSIUSD,57.04
2020-11-30,SVUSA,210.86
2020-11-30,EPRA,52.78
2020-11-30,BRK B,228.91
2020-11-30,ACWIA,131.16
2020-11-30,immovision,6486.0
2020-11-30,EUR,1.0741
2020-11-30,USD,0.9442
2020-11-30,CHF,1.0
2020-11-30,JPY,0.008465
2021-02-28,SPICHA,70.39
2021-02-28,IMAE,56.005
2021-02-28,CSPX,385.37
2021-02-28,AJEUAS,201.5
2021-02-28,LCJD,16.226
2021-02-28,AEEM,5.04
2021-02-28,IEAC,175.54
2021-02-28,LQDE,266.03
2021-02-28,IGLO,135.6
2021-02-28,AUUSIUSD,56.37
2021-02-28,SVUSA,253.76
2021-02-28,EPRA,55.41
2021-02-28,BRK B,240.51
2021-02-28,ACWIA,139.77
2021-02-28,immovision,6759.0
2021-02-28,EUR,1.0962
2021-02-28,USD,0.9081
2021-02-28,CHF,1.0
2021-02-28,JPY,0.008465
2021-05-31,SPICHA,78.41
2021-05-31,IMAE,62.77
2021-05-31,CSPX,426.39
2021-05-31,AJEUAS,201.48
2021-05-31,LCJD,16.606
2021-05-31,AEEM,5.16
2021-05-31,IEAC,175.64
2021-05-31,LQDE,267.91
2021-05-31,IGLO,135.01
2021-05-31,AUUSIUSD,64.41
2021-05-31,SVUSA,262.45
2021-05-31,EPRA,61.3
2021-05-31,BRK B,289.44
2021-05-31,ACWIA,152.01
2021-05-31,immovision,6759.0
2021-05-31,EUR,1.0959
2021-05-31,USD,0.9209
2021-05-31,CHF,1.0
2021-05-31,JPY,0.008331
2021-08-31,SPICHA,85.08
2021-08-31,IMAE,65.49
2021-08-31,CSPX,459.98
2021-08-31,AJEUAS,188.85
2021-08-31,LCJD,16.664
2021-08-31,AEEM,5.03
2021-08-31,IEAC,177.57
2021-08-31,LQDE,276.22
2021-08-31,IGLO,135.72
2021-08-31,AUUSIUSD,58.1
2021-08-31,SVUSA,228.13
2021-08-31,EPRA,67.25
2021-08-31,BRK B,285.66
2021-08-31,ACWIA,158.99
2021-08-31,immovision,6759.0
2021-08-31,EUR,1.0838
2021-08-31,USD,0.9342
2021-08-31,CHF,1.0
2021-08-31,JPY,0.008346
2021-11-30,SPICHA,80.76
2021-11-30,IMAE,64.87
2021-11-30,CSPX,465.76
2021-11-30,AJEUAS,181.06
2021-11-30,LCJD,16.068
2021-11-30,AEEM,5.0
2021-11-30,IEAC,175.38
2021-11-30,LQDE,273.41
2021-11-30,IGLO,131.99
2021-11-30,AUUSIUSD,58.26
2021-11-30,SVUSA,198.9
2021-11-30,EPRA,71.77
2021-11-30,BRK B,276.69
2021-11-30,ACWIA,156.33
2021-11-30,immovision,6858.0
2021-11-30,EUR,1.0421
2021-11-30,USD,0.9229
2021-11-30,CHF,1.0
2021-11-30,JPY,0.008109
2022-02-28,SPICHA,79.09
2022-02-28,IMAE,59.82
2022-02-28,CSPX,447.33
